epoch,loss,accuracy
1.0,1.341961421828339,0.36757246394088305
2.0,1.320579399233279,0.4032306764004887
3.0,1.3017246170320373,0.4211654593979103
4.0,1.2976414448973062,0.43118961392969324
5.0,1.267872449280559,0.45671799562979437
6.0,1.2220695744390073,0.515625
7.0,1.2445182679356008,0.4913647347602291
8.0,1.1731648462406103,0.5586050731548364
9.0,1.1215799407682556,0.6154136476309403
10.0,1.1062625724336375,0.6289704113766768
11.0,1.0885577469632246,0.6499094202898551
12.0,1.0652553205904753,0.6762983099274014
13.0,1.0590365572252136,0.6814009668170542
14.0,1.0494379617165828,0.6907306771347488
15.0,1.040741331335427,0.7008454108583755
16.0,1.0281643383744834,0.71245471118153
17.0,1.0180744114129439,0.7224637684614762
18.0,1.003307833187822,0.7368206528649814
19.0,0.9996830285459325,0.7407910633778226
20.0,1.0022123127743818,0.7393115948939669
21.0,0.9984625871630682,0.7428743968839231
22.0,0.9907578307649364,0.7503170293310414
23.0,0.9843141203341277,0.7565519325975059
24.0,0.9769169195838596,0.7657004836676777
25.0,0.9790068726608718,0.7620169088460397
26.0,0.9691755935765695,0.7713919091915739
27.0,0.9754336804583452,0.7630585751671722
28.0,0.9613691991653995,0.7810386479764745
29.0,0.9423495194186335,0.7991243963656218
30.0,0.9595663711644601,0.7816878021627233
31.0,0.9637321043705595,0.7791213773298955
32.0,0.9708089033762614,0.7708786242250083
33.0,0.9440796910852626,0.7980827300444894
34.0,0.9216249015020288,0.8201086961704752
35.0,0.9185002532558165,0.8227053146431411
36.0,0.8987507241359656,0.841817633829255
37.0,0.8896463642949644,0.851841788361038
38.0,0.8938666003337805,0.8486564012541287
39.0,0.890522415223329,0.8512983097546343
40.0,0.8836436694946842,0.858801329481429
41.0,0.8771087380423062,0.8646286242250083
42.0,0.8726162245308143,0.8701841796653859
43.0,0.8632861142573149,0.8807669091915739
44.0,0.8661506098249684,0.8762983101001685
45.0,0.8585477592288584,0.8844202903733738
46.0,0.8597523224526558,0.8828049526698347
47.0,0.8462111198383829,0.8975543483443882
48.0,0.8577278152756069,0.8857789860255476
49.0,0.8559510336405989,0.8874396137569261
50.0,0.8617388165515402,0.8812801941581394
51.0,0.8586338317912557,0.8850694454234579
52.0,0.8473068605298582,0.8957729477813279
53.0,0.8422827046850453,0.9006944454234579
54.0,0.8353041522744773,0.9080314014268958
55.0,0.8392593100451041,0.9029589381770812
56.0,0.8317110935846964,0.9117602662763734
57.0,0.843989838724551,0.8991696869117626
58.0,0.8559187123740929,0.8865942039351532
59.0,0.8455217878023783,0.8976902184279069
60.0,0.8479234835375911,0.8951539855072463
61.0,0.8392909791158594,0.9048007251559824
62.0,0.8390714128812155,0.9038345416386923
63.0,0.8283795887145443,0.9150513289631277
64.0,0.8298536729121554,0.9132095419842264
65.0,0.8327895869379458,0.9105978271235591
66.0,0.8366865731667781,0.9051630445148634
67.0,0.8353011331696442,0.9080012086508931
68.0,0.8278906785923502,0.915217391822649
69.0,0.8307004216788472,0.9113677541414896
70.0,0.8165181832037111,0.9274456526922144
